state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,,Iterative alpha-(de)Blending: A Minimalist Deterministic Diffusion Model,SIGGRAPH 2023,https://github.com/tchambon/IADB,https://ggx-research.github.io/publication/2023/05/10/publication-iadb.html,Technical Paper / Diffusion for Geometry,obsidian-vault/paperPDFs/SIGGRAPH_2023/Iterative_alpha_de_Blending_A_Minimalist_Deterministic_Diffusion_Model.pdf
Downloaded,,Isometric Energies for Recovering Injectivity in Constrained Mapping,SIGGRAPH ASIA 2022,https://duxingyi-charles.github.io/publication/isometric-energies-for-recovering-injectivity-in-constrained-mapping/,https://duxingyi-charles.github.io/publication/isometric-energies-for-recovering-injectivity-in-constrained-mapping/,Technical Paper / Maps and Fields,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Isometric_Energies_for_Recovering_Injectivity_in_Constrained_Mapping.pdf
Downloaded,,Rhythmic Gesticulator: Rhythm-Aware Co-Speech Gesture Synthesis with Hierarchical Neural Embeddings,SIGGRAPH ASIA 2022,https://github.com/Aubrey-ao/HumanBehaviorAnimation,https://github.com/Aubrey-ao/HumanBehaviorAnimation,"Technical Paper / Face, Speech, and Gesture",obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Rhythmic_Gesticulator_Rhythm_Aware_Co_Speech_Gesture_Synthesis_with_Hierarchical_Neural_Embeddings.pdf
Downloaded,,Woven Fabric Capture from a Single Photo,SIGGRAPH ASIA 2022,https://wangningbei.github.io/2022/Fabrics.html,https://wangningbei.github.io/2022/Fabrics.html,Technical Paper / Appearance Modeling and Capture,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Woven_Fabric_Capture_from_a_Single_Photo.pdf
Downloaded,,AR-DAVID: Augmented Reality Display Artifact Video Dataset,SIGGRAPH ASIA 2024,https://www.cl.cam.ac.uk/research/rainbow/projects/ardavid/,https://www.cl.cam.ac.uk/research/rainbow/projects/ardavid/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/AR_DAVID_Augmented_Reality_Display_Artifact_Video_Dataset.pdf
Downloaded,,Accelerate Neural Subspace-Based Reduced-Order Solver of Deformable Simulation by Lipschitz Optimization,SIGGRAPH ASIA 2024,https://lip-neural-subspace.github.io/,https://lip-neural-subspace.github.io/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Accelerate_Neural_Subspace_Based_Reduced_Order_Solver_of_Deformable_Simulation_by_Lipschitz_Optimization.pdf
Downloaded,,Actuators A La Mode: Modal Actuations for Soft Body Locomotion,SIGGRAPH ASIA 2024,https://arxiv.org/abs/2405.18609,https://arxiv.org/abs/2405.18609,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Actuators_A_La_Mode_Modal_Actuations_for_Soft_Body_Locomotion.pdf
Downloaded,,AdR-Gaussian: Accelerating Gaussian Splatting with Adaptive Radius,SIGGRAPH ASIA 2024,https://arxiv.org/abs/2409.08669,https://arxiv.org/abs/2409.08669,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/AdR_Gaussian_Accelerating_Gaussian_Splatting_with_Adaptive_Radius.pdf
Downloaded,,An Eulerian Vortex Method on Flow Maps,SIGGRAPH ASIA 2024,https://evm.sinanw.com/,https://evm.sinanw.com/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/An_Eulerian_Vortex_Method_on_Flow_Maps.pdf
Downloaded,,Anim-Director: A Large Multimodal Model Powered Agent for Controllable Animation Video Generation,SIGGRAPH ASIA 2024,https://github.com/HITsz-TMG/Anim-Director,https://arxiv.org/abs/2408.09787,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Anim_Director_A_Large_Multimodal_Model_Powered_Agent_for_Controllable_Animation_Video_Generation.pdf
Downloaded,,Architectural Co-LOD Generation,SIGGRAPH ASIA 2024,https://oliver-zrz-cyber.github.io/Co-LOD/,https://vcc.tech/research/2024/CoLOD,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Architectural_Co_LOD_Generation.pdf
Downloaded,,Autonomous Character-Scene Interaction Synthesis from Text Instruction,SIGGRAPH ASIA 2024,https://github.com/mileret/lingo-release,https://yzhu.io/publication/hoi2024siggraphasia/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Autonomous_Character_Scene_Interaction_Synthesis_from_Text_Instruction.pdf
Downloaded,,BSDF importance sampling using a diffusion model,SIGGRAPH ASIA 2024,https://github.com/fzy28/BSDF_diffusion_sampling,https://fzy28.github.io/BSDF_diffusion_sampling_web/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/BSDF_importance_sampling_using_a_diffusion_model.pdf
Downloaded,,Bijective Volumetric Mapping via Star Decomposition,SIGGRAPH ASIA 2024,https://github.com/SteffenHinderink/StarDecompositionMaps,https://github.com/SteffenHinderink/StarDecompositionMaps,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Bijective_Volumetric_Mapping_via_Star_Decomposition.pdf
Downloaded,,Boosting 3D Object Generation through PBR Materials,SIGGRAPH ASIA 2024,https://arxiv.org/abs/2411.16080,https://arxiv.org/abs/2411.16080,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Boosting_3D_Object_Generation_through_PBR_Materials.pdf
Downloaded,,Casper DPM: Cascaded Perceptual Dynamic Projection Mapping onto Hands,SIGGRAPH ASIA 2024,https://github.com/yoterel/casper,https://arxiv.org/abs/2409.04397,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Casper_DPM_Cascaded_Perceptual_Dynamic_Projection_Mapping_onto_Hands.pdf
Downloaded,,Chebyshev Parameterization for Woven Fabric Modeling,SIGGRAPH ASIA 2024,https://github.com/oehria/woven-fabric-chebyshev,https://igl.ethz.ch/projects/chebyshev/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Chebyshev_Parameterization_for_Woven_Fabric_Modeling.pdf
Downloaded,,Coherent Optical Modems for Full-Wavefield Lidar,SIGGRAPH ASIA 2024,https://www.dgp.toronto.edu/fullwavefieldlidar/,https://www.dgp.toronto.edu/fullwavefieldlidar/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Coherent_Optical_Modems_for_Full_Wavefield_Lidar.pdf
Downloaded,,Colorful Diffuse Intrinsic Image Decomposition in the Wild,SIGGRAPH ASIA 2024,https://github.com/compphoto/Intrinsic,https://yaksoy.github.io/ColorfulShading/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Colorful_Diffuse_Intrinsic_Image_Decomposition_in_the_Wild.pdf
Downloaded,,Computational Biomimetics of Winged Seeds,SIGGRAPH ASIA 2024,https://github.com/leqiqin/Computational-Biomimetics-of-Winged-Seeds,https://leqiqin.github.io/publication/seeds2024,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Computational_Biomimetics_of_Winged_Seeds.pdf
Downloaded,,Computational Design of Dense Servers for Immersion Cooling,SIGGRAPH ASIA 2024,https://www.microsoft.com/en-us/research/publication/computational-design-of-dense-servers-for-immersion-cooling/,https://www.microsoft.com/en-us/research/publication/computational-design-of-dense-servers-for-immersion-cooling/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Computational_Design_of_Dense_Servers_for_Immersion_Cooling.pdf
Downloaded,,Computational Design of a Kit of Parts for Bending Active Structures,SIGGRAPH ASIA 2024,https://udaykusupati.github.io/publications/kop/kop/,https://udaykusupati.github.io/publications/kop/kop/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Computational_Design_of_a_Kit_of_Parts_for_Bending_Active_Structures.pdf
Downloaded,,Consolidating Attention Features for Multi-view Image Editing,SIGGRAPH ASIA 2024,https://qnerf-consolidation.github.io/qnerf-consolidation/,https://qnerf-consolidation.github.io/qnerf-consolidation/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Consolidating_Attention_Features_for_Multi_view_Image_Editing.pdf
Downloaded,,Content-aware Tile Generation using Exterior Boundary Inpainting,SIGGRAPH ASIA 2024,https://github.com/samsartor/content_aware_tiles,https://samsartor.com/content-aware-tiles/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Content_aware_Tile_Generation_using_Exterior_Boundary_Inpainting.pdf
Downloaded,,Controllable Shape Modeling with Neural Generalized Cylinder,SIGGRAPH ASIA 2024,https://uhzoaix.github.io/NeuralGC/,https://uhzoaix.github.io/NeuralGC/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Controllable_Shape_Modeling_with_Neural_Generalized_Cylinder.pdf
Downloaded,,Correlation-aware Encoder-Decoder with Adapters for SVBRDF Acquisition,SIGGRAPH ASIA 2024,https://github.com/Rody-NKCS/Correlation-aware,https://rody-nkcs.github.io/SVBRDF/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Correlation_aware_Encoder_Decoder_with_Adapters_for_SVBRDF_Acquisition.pdf
Downloaded,,Curly-Cue: Geometric Methods for Highly Coiled Hair,SIGGRAPH ASIA 2024,https://www.cs.yale.edu/homes/wu-haomiao/publication/curlyCue.html,https://www.cs.yale.edu/homes/wu-haomiao/publication/curlyCue.html,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Curly_Cue_Geometric_Methods_for_Highly_Coiled_Hair.pdf
Downloaded,,Customizing Text-to-Image Diffusion with Object Viewpoint Control,SIGGRAPH ASIA 2024,https://customdiffusion360.github.io/,https://customdiffusion360.github.io/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Customizing_Text_to_Image_Diffusion_with_Object_Viewpoint_Control.pdf
Downloaded,,Customizing Text-to-Image Models with a Single Image Pair,SIGGRAPH ASIA 2024,https://paircustomization.github.io/,https://paircustomization.github.io/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Customizing_Text_to_Image_Models_with_a_Single_Image_Pair.pdf
Downloaded,,Dance-to-Music Generation with Encoder-based Textual Inversion,SIGGRAPH ASIA 2024,https://github.com/lsfhuihuiff/Dance-to-music_Siggraph_Asia_2024,https://arxiv.org/abs/2401.17800,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Dance_to_Music_Generation_with_Encoder_based_Textual_Inversion.pdf
Downloaded,,Deformation Recovery: Localized Learning for Detail-Preserving Deformations,SIGGRAPH ASIA 2024,https://arxiv.org/abs/2410.08225,https://arxiv.org/abs/2410.08225,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Deformation_Recovery_Localized_Learning_for_Detail_Preserving_Deformations.pdf
Downloaded,,DifFRelight: Diffusion-Based Facial Performance Relighting,SIGGRAPH ASIA 2024,https://www.eyelinestudios.com/research/diffrelight.html,https://www.eyelinestudios.com/research/diffrelight.html,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/DifFRelight_Diffusion_Based_Facial_Performance_Relighting.pdf
Downloaded,,DiffCSG: Differentiable CSG via Rasterization,SIGGRAPH ASIA 2024,https://yyyyyhc.github.io/DiffCSG/,https://yyyyyhc.github.io/DiffCSG/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/DiffCSG_Differentiable_CSG_via_Rasterization.pdf
Downloaded,,Differentiable Owen Scrambling,SIGGRAPH ASIA 2024,https://github.com/liris-origami/DifferentiableOwenScrambling,https://perso.liris.cnrs.fr/david.coeurjolly/publication/owen-diff-24/,Technical Paper / Technical Papers Fast-Forward and Awards,obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Differentiable_Owen_Scrambling.pdf
