path	source_url	title	venue	original_bytes	compressed_bytes	current_bytes
obsidian-vault/paperPDFs/SIGGRAPH_2024/NeurCADRecon_Neural_Representation_for_Reconstructing_CAD_Surfaces_by_Enforcing_Zero_Gaussian_Curvature.pdf	https://doi.org/10.1145/3658171	NeurCADRecon: Neural Representation for Reconstructing CAD Surfaces by Enforcing Zero Gaussian Curvature	SIGGRAPH 2024	124632133	1244546	1244546
obsidian-vault/paperPDFs/SIGGRAPH_2026/Neural_Cellular_Automata_From_Cells_to_Pixels.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_264&sess=sess112	Neural Cellular Automata: From Cells to Pixels	SIGGRAPH 2026	99578217	2883297	2883297
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Efficient_Graphics_Representation_with_Differentiable_Indirection.pdf	https://asia.siggraph.org/2023/?post_type=page&p=14494&id=papers_602&sess=sess136	Efficient Graphics Representation with Differentiable Indirection	SIGGRAPH ASIA 2023	90866535	1542210	1542210
obsidian-vault/paperPDFs/SIGGRAPH_2024/Controllable_Neural_Style_Transfer_for_Dynamic_Meshes.pdf	https://doi.org/10.1145/3641519.3657474	Controllable Neural Style Transfer for Dynamic Meshes	SIGGRAPH 2024	90198088	1380831	1380831
obsidian-vault/paperPDFs/SIGGRAPH_2024/Seamless_Parametrization_in_Penner_Coordinates.pdf	https://doi.org/10.1145/3658202	Seamless Parametrization in Penner Coordinates	SIGGRAPH 2024	89068284	1333570	1333570
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Fast_MSX_Fast_Multiple_Scattering_Approximation.pdf	https://doi.org/10.1145/3610548.3618231	Fast-MSX: Fast Multiple Scattering Approximation	SIGGRAPH ASIA 2023	84613113	1000949	1000949
obsidian-vault/paperPDFs/SIGGRAPH_2026/Broadband_Hyperspectral_3D_Imaging_using_Dispersed_Structured_Light.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_463&sess=sess147	Broadband Hyperspectral 3D Imaging using Dispersed Structured Light	SIGGRAPH 2026	82786911	1774851	1774851
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Architectural_Co_LOD_Generation.pdf	https://vcc.tech/research/2024/CoLOD	Architectural Co-LOD Generation	SIGGRAPH ASIA 2024	82134429	2674272	2674272
obsidian-vault/paperPDFs/SIGGRAPH_2023/Local_Deformation_for_Interactive_Shape_Editing.pdf	https://www.cs.columbia.edu/cg/local-deformation/	Local Deformation for Interactive Shape Editing	SIGGRAPH 2023	81386275	1410043	1410043
obsidian-vault/paperPDFs/SIGGRAPH_2024/TensoSDF_Roughness_aware_Tensorial_Representation_for_Robust_Geometry_and_Material_Reconstruction.pdf	https://doi.org/10.1145/3658211	TensoSDF: Roughness-aware Tensorial Representation for Robust Geometry and Material Reconstruction	SIGGRAPH 2024	81165801	2035773	2035773
