topic_id,topic_label,priority_rank,primary_paper_count,share_of_processed,example_titles
llm_reasoning_agents,LLM Reasoning & Agents,1,1854,0.346672,$\nabla$-Reasoner: LLM Reasoning via Test-Time Gradient Descent in Latent Space | $\textbf{Re}^{2}$: Unlocking LLM Reasoning via Reinforcement Learning with Re-solving | $p\textrm{-less}$ Sampling: A Robust Hyperparameter-Free Approach for LLM Decoding
diffusion_generation,Diffusion & Generative Modeling,3,732,0.136874,$\textit{MADFormer}$: Mixed Autoregressive and Diffusion Transformers for Continuous Image Generation | $PhyWorldBench$: A Comprehensive Evaluation of Physical Realism in Text-to-Video Models | A Bayesian Nonparametric Framework For Learning Disentangled Representations
optimization_theory,Optimization & Theory,10,452,0.084518,$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers | ``Noisier'’ Noise Contrastive Estimation is (Almost) Maximum Likelihood | A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints
efficient_llm_systems,"Efficient Models, Scaling & Systems",6,431,0.080591,$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization | 3DGEER: 3D Gaussian Rendering Made Exact and Efficient for Generic Cameras | 3DSMT: A Hybrid Spiking Mamba-Transformer for Point Cloud Analysis
reinforcement_learning,Reinforcement Learning,4,350,0.065445,$AutoDrive\text{-}P^3$: Unified Chain of Perception–Prediction–Planning Thought via Reinforcement Fine-Tuning | 3D-aware Disentangled Representation for Compositional Reinforcement Learning | A New Approach to Controlling Linear Dynamical Systems
robustness_ood,"Robustness, OOD & Adaptation",11,347,0.064884,$\pi^3$: Permutation-Equivariant Visual Geometry Learning | A Brain-Inspired Gating Mechanism Unlocks Robust Computation in Spiking Neural Networks | A Relative Error-Based Evaluation Framework of Heterogeneous Treatment Effect Estimators
multimodal_vlm,Multimodal & Vision-Language,2,289,0.054039,A Comprehensive Information-Decomposition Analysis of Large Vision-Language Models | A High Quality Dataset and Reliable Evaluation for Interleaved Image-Text Generation | A Rich Knowledge Space for Scalable Deepfake Detection
alignment_safety,"Alignment, Safety & Preference Learning",5,263,0.049177,$\alpha$-DPO: Robust Preference Alignment for Diffusion Models via $\alpha$ Divergence | A Guardrail for Safety Preservation: When Safety-Sensitive Subspace Meets Harmful-Resistant Null-Space | ActiveDPO: Active Direct Preference Optimization for Sample-Efficient Alignment
time_series_sequential,Time Series & Sequential Modeling,8,243,0.045438,3D Scene Prompting for Scene-Consistent Camera-Controllable Video Generation | A foundation model with multi-variate parallel attention to generate neuronal activity | A General Spatio-Temporal Backbone with Scalable Contextual Pattern Bank for Urban Continual Forecasting
privacy_security,"Privacy, Security & Trustworthiness",12,122,0.022812,"A Bayesian Nonparametric Framework for Private, Fair, and Balanced Tabular Data Synthesis | A General Framework for Black-Box Attacks Under Cost Asymmetry | Adaptive Attacks on Trusted Monitors Subvert AI Control Protocols"
other,Other / Unclear,99,100,0.018699,3DCS: Datasets and Benchmark for Evaluating Conformational Sensitivity in Molecular Representations | A Dense Subset Index for Collective Query Coverage | A Study on PAVE Specification for Learnware
scientific_ml,"Scientific ML, PDEs & Neural Operators",9,86,0.016081,$\boldsymbol{\partial^\infty}$-Grid: A Neural Differential Equation Solver with Differentiable Feature Grids | (U)NFV: (Un)Supervised Neural Finite Volume Methods for Solving Hyperbolic PDEs | A Spectral-Grassmann Wasserstein metric for operator representations of dynamical systems
graph_learning,Graph Learning,7,79,0.014772,$\ell_1$ Latent Distance based Continuous-time Graph Representation | A Function-Centric Graph Neural Network Approach for Predicting Electron Densities | A Graph Meta-Network for Learning on Kolmogorov–Arnold Networks
