state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,,TextDeformer: Geometry Manipulation Using Text Guidance,SIGGRAPH 2023,https://github.com/threedle/TextDeformer,https://threedle.github.io/TextDeformer/,Technical Paper / Deep Geometric Learning,obsidian-vault/paperPDFs/SIGGRAPH_2023/TextDeformer_Geometry_Manipulation_Using_Text_Guidance.pdf
Downloaded,,Textured Mesh Quality Assessment: Large-scale Dataset and Deep Learning-based Quality Metric,SIGGRAPH 2023,https://github.com/MEPP-team/Graphics-LPIPS,https://arxiv.org/abs/2202.02397,TOG Paper / Material Rendering,obsidian-vault/paperPDFs/SIGGRAPH_2023/Textured_Mesh_Quality_Assessment_Large_scale_Dataset_and_Deep_Learning_based_Quality_Metric.pdf
Downloaded,,The Visual Language of Fabrics,SIGGRAPH 2023,https://valentin.deschaintre.fr/text2fabric,https://valentin.deschaintre.fr/text2fabric,Technical Paper / Not Just for Cubists,obsidian-vault/paperPDFs/SIGGRAPH_2023/The_Visual_Language_of_Fabrics.pdf
Downloaded,,Toward Optimized VR/AR Ergonomics: Modeling and Predicting User Neck Muscle Contraction,SIGGRAPH 2023,https://github.com/NYU-ICL/xr-ergonomics-neck-comfort,https://www.immersivecomputinglab.org/publication/toward-optimized-vr-ar-ergonomics-modeling-and-predicting-user-neck-muscle-contraction/,Technical Paper / Beyond The Headset,obsidian-vault/paperPDFs/SIGGRAPH_2023/Toward_Optimized_VR_AR_Ergonomics_Modeling_and_Predicting_User_Neck_Muscle_Contraction.pdf
Downloaded,,Towards Attention–Aware Foveated Rendering,SIGGRAPH 2023,https://www.computationalimaging.org/publications/attention-aware/,https://www.computationalimaging.org/publications/attention-aware/,Technical Paper / Beyond The Headset,obsidian-vault/paperPDFs/SIGGRAPH_2023/Towards_Attention_Aware_Foveated_Rendering.pdf
Downloaded,,Towards Material Digitization With a Dual-scale Optical System,SIGGRAPH 2023,https://www.elenagarces.es/projects/SEDDIDome/web/index.html,https://www.elenagarces.es/projects/SEDDIDome/web/index.html,Technical Paper / Material Acquisition,obsidian-vault/paperPDFs/SIGGRAPH_2023/Towards_Material_Digitization_With_a_Dual_scale_Optical_System.pdf
Downloaded,,UniTune: Text-driven Image Editing by Fine Tuning a Diffusion Model on a Single Image,SIGGRAPH 2023,https://arxiv.org/abs/2210.09477,https://arxiv.org/abs/2210.09477,Technical Paper / Text-Guided Generation,obsidian-vault/paperPDFs/SIGGRAPH_2023/UniTune_Text_driven_Image_Editing_by_Fine_Tuning_a_Diffusion_Model_on_a_Single_Image.pdf
Downloaded,,Unsupervised Learning of Robust Spectral Shape Matching,SIGGRAPH 2023,https://github.com/dongliangcao/Unsupervised-Learning-of-Robust-Spectral-Shape-Matching,https://dongliangcao.github.io/urssm/,Technical Paper / Marvelous Mappings,obsidian-vault/paperPDFs/SIGGRAPH_2023/Unsupervised_Learning_of_Robust_Spectral_Shape_Matching.pdf
Downloaded,,ViP-NeRF: Visibility Prior for Sparse Input Neural Radiance Fields,SIGGRAPH 2023,https://github.com/NagabhushanSN95/ViP-NeRF,https://arxiv.org/abs/2305.00041,Technical Paper / NeRFs on Earth,obsidian-vault/paperPDFs/SIGGRAPH_2023/ViP_NeRF_Visibility_Prior_for_Sparse_Input_Neural_Radiance_Fields.pdf
Downloaded,,VideoDoodles: Hand-drawn Animations on Videos With Scene-aware Canvases,SIGGRAPH 2023,https://em-yu.github.io/research/videodoodles/,https://em-yu.github.io/research/videodoodles/,Technical Paper / Magical Sketching,obsidian-vault/paperPDFs/SIGGRAPH_2023/VideoDoodles_Hand_drawn_Animations_on_Videos_With_Scene_aware_Canvases.pdf
