source_item_id,source_repo,state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,paper_id,item_type,updated_at
srcitem:a21c1b9c8f61,weitianxin__awesome-agentic-reasoning,Downloaded,B,LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,arXiv 2023,N/A,https://arxiv.org/abs/2304.11477,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/arXiv_2023/2023_LLM+P_Empowering_Large_Language_Models_with_Optimal_Planning_Proficiency.pdf,arxiv:2304.11477,paper,2026-04-14T00:31:05+08:00
srcitem:febcaf5e57b5,weitianxin__awesome-agentic-reasoning,Downloaded,B,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,NeurIPS 2023,N/A,https://arxiv.org/abs/2206.10498,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/NeurIPS_2023/2023_PlanBench_An_Extensible_Benchmark_for_Evaluating_Large_Language_Models_on_Planning_and_Reasoning_about_Change.pdf,arxiv:2206.10498,paper,2026-04-14T00:31:05+08:00
srcitem:a8617cc1311f,weitianxin__awesome-agentic-reasoning,Wait,B,ReWOO: Decoupling Reasoning from Observations for Efficient Augmented Language Models,arXiv 2023,N/A,https://arxiv.org/abs/2305.18323,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/arXiv_2023/2023_ReWOO_Decoupling_Reasoning_from_Observations_for_Efficient_Augmented_Language_Models.pdf,arxiv:2305.18323,paper,2026-04-14T00:31:05+08:00
srcitem:0055b96ef60a,weitianxin__awesome-agentic-reasoning,Wait,B,"LLM Reasoners: New Evaluation, Library, and Analysis of Step-by-Step Reasoning with Large Language Models",arXiv 2024,N/A,https://arxiv.org/abs/2404.05221,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/arXiv_2024/2024_LLM_Reasoners_New_Evaluation_Library_and_Analysis_of_Step_by_Step_Reasoning_with_Large_Language_Models.pdf,arxiv:2404.05221,paper,2026-04-14T00:31:05+08:00
srcitem:fec530bfa417,weitianxin__awesome-agentic-reasoning,Wait,B,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,ICLR 2023,N/A,https://arxiv.org/abs/2205.10625,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/ICLR_2023/2023_Least_to_Most_Prompting_Enables_Complex_Reasoning_in_Large_Language_Models.pdf,arxiv:2205.10625,paper,2026-04-14T00:31:05+08:00
srcitem:bd209cee9ef6,weitianxin__awesome-agentic-reasoning,Wait,B,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,ACL 2023,N/A,https://arxiv.org/abs/2305.04091,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/ACL_2023/2023_Plan_and_Solve_Prompting_Improving_Zero_Shot_Chain_of_Thought_Reasoning_by_Large_Language_Models.pdf,arxiv:2305.04091,paper,2026-04-14T00:31:05+08:00
srcitem:ded7cce36eab,weitianxin__awesome-agentic-reasoning,Wait,B,Algorithm of Thoughts: Enhancing Exploration of Ideas in Large Language Models,ICML 2024,N/A,https://arxiv.org/abs/2308.10379,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/ICML_2024/2024_Algorithm_of_Thoughts_Enhancing_Exploration_of_Ideas_in_Large_Language_Models.pdf,arxiv:2308.10379,paper,2026-04-14T00:31:05+08:00
srcitem:0edef6a1bf4b,weitianxin__awesome-agentic-reasoning,Wait,B,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,NeurIPS 2023,N/A,https://arxiv.org/abs/2303.17580,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/NeurIPS_2023/2023_HuggingGPT_Solving_AI_Tasks_with_ChatGPT_and_its_Friends_in_Hugging_Face.pdf,arxiv:2303.17580,paper,2026-04-14T00:31:05+08:00
srcitem:1f2333441c95,weitianxin__awesome-agentic-reasoning,Wait,B,"Plan, Eliminate, and Track -- Language Models are Good Teachers for Embodied Agents",arXiv 2023,N/A,https://arxiv.org/abs/2305.02412,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/arXiv_2023/2023_Plan_Eliminate_and_Track_Language_Models_are_Good_Teachers_for_Embodied_Agents.pdf,arxiv:2305.02412,paper,2026-04-14T00:31:05+08:00
srcitem:2fbb5240acd5,weitianxin__awesome-agentic-reasoning,Wait,B,"PERIA: Perceive, Reason, Imagine, Act via Holistic Language and Vision Planning for Manipulation",NeurIPS 2024,N/A,https://proceedings.neurips.cc/paper_files/paper/2024/hash/1f6af963e891e7efa229c24a1607fa7f-Abstract-Conference.html,Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design,paperPDFs/Agentic_Reasoning_Foundational_Agentic_Reasoning_Planning_Reasoning_In_context_Planning_Workflow_Design/NeurIPS_2024/2024_PERIA_Perceive_Reason_Imagine_Act_via_Holistic_Language_and_Vision_Planning_for_Manipulation.pdf,hash:a9e35457,paper,2026-04-14T00:31:05+08:00
