state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,A,Deformable Gaussian Occupancy: Decoupling Rigid and Nonrigid Motion with Factorized Distillation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_Deformable_Gaussian_Occupancy_Decoupling_Rigid_and_Nonrigid_Motion_with_Factorized_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Deformable_Gaussian_Occupancy:_Decoupling_Rigid_and_Nonrigid_Motion_with_Factorized_Distillation.pdf
Downloaded,A,"MotionScale: Reconstructing Appearance, Geometry, and Motion of Dynamic Scenes with Scalable 4D Gaussian Splatting",CVPR 2026,,https://arxiv.org/abs/2603.29296,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime,explicit_4d | ds_review=keep","obsidian-vault/paperPDFs/CVPR_2026/MotionScale:_Reconstructing_Appearance,_Geometry,_and_Motion_of_Dynamic_Scenes_with_Scalable_4D_Gaussian_Splatting.pdf"
Downloaded,A,Real-Time Dynamic Scene Rendering with Controlled Compressibility and Contact Awareness,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Shi_Real-Time_Dynamic_Scene_Rendering_with_Controlled_Compressibility_and_Contact_Awareness_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Real-Time_Dynamic_Scene_Rendering_with_Controlled_Compressibility_and_Contact_Awareness.pdf
Downloaded,A,SpeeDe3DGS: Speedy Deformable 3D Gaussian Splatting with Temporal Pruning and Motion Grouping,CVPR 2026,,https://arxiv.org/abs/2506.07917,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/SpeeDe3DGS:_Speedy_Deformable_3D_Gaussian_Splatting_with_Temporal_Pruning_and_Motion_Grouping.pdf
Downloaded,A,U4D: Uncertainty-Aware 4D World Modeling from LiDAR Sequences,CVPR 2026,,https://arxiv.org/abs/2512.02982,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=explicit_4d,world_modeling | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/U4D:_Uncertainty-Aware_4D_World_Modeling_from_LiDAR_Sequences.pdf
Downloaded,B,RAYNOVA: Scale-Temporal Autoregressive World Modeling in Ray Space,CVPR 2026,,https://arxiv.org/abs/2602.20685,"CVPR_2026_4d_supplement_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=23 | reasons=dynamic_spacetime,world_modeling | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/RAYNOVA:_Scale-Temporal_Autoregressive_World_Modeling_in_Ray_Space.pdf
Downloaded,B,SpaceTimePilot: Generative Rendering of Dynamic Scenes Across Space and Time,CVPR 2026,,https://arxiv.org/abs/2512.25075,"CVPR_2026_4d_supplement_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=23 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/SpaceTimePilot:_Generative_Rendering_of_Dynamic_Scenes_Across_Space_and_Time.pdf
Downloaded,B,$L^{2}DGS$: Low-Light Dynamic Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kumar_L2DGS_Low-Light_Dynamic_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/$L^{2}DGS$:_Low-Light_Dynamic_Gaussian_Splatting.pdf
Downloaded,B,4C4D: 4 Camera 4D Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2604.04063,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/4C4D:_4_Camera_4D_Gaussian_Splatting.pdf
Downloaded,B,4DEquine: Disentangling Motion and Appearance for 4D Equine Reconstruction from Monocular Video,CVPR 2026,,https://arxiv.org/abs/2603.10125,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/4DEquine:_Disentangling_Motion_and_Appearance_for_4D_Equine_Reconstruction_from_Monocular_Video.pdf
Downloaded,B,4DSurf: High-Fidelity Dynamic Scene Surface Reconstruction,CVPR 2026,,https://arxiv.org/abs/2603.28064,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/4DSurf:_High-Fidelity_Dynamic_Scene_Surface_Reconstruction.pdf
