case_id,model,sample_id,primary_bucket,problem_description,prompt_text,factor_primary,factor_secondary,evidence_quote,confidence,missing_info_flag,needs_adjudication,label_source,source_agents,note
F001,MoGenTS,hml_orig100_test_002__full,simple_locomotion,直线跑,a person who is poised to run steps to his right with is right foot and dashes to his left.,wrong_trajectory_or_path,,直线跑,medium,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F002,MoGenTS,hml_orig100_test_003__full,direction_turn,a person stands normally then begins hops on their left foot while their right foot is elevated then stops and stands normally.,a person stands normally then begins hops on their right foot while their left foot is elevated then stops and stands normally.,wrong_limb_or_side,,left foot while their right foot is elevated,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F003,MoGenTS,hml_orig100_test_013__full,object_interaction,"a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the right hand.","a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the left hand.",wrong_limb_or_side,object_interaction_error,raises something to his face with the right hand,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F004,MoGenTS,hml_orig100_test_020__full,dance_exercise,没有holding the posture for several seconds保持姿势不动数秒,"a man slowly raises both arms high over his head in a stretch, holding the posture for several seconds, with his right arm stretched out to his side.",timing_or_duration_error,missing_subaction,没有holding the posture for several seconds保持姿势不动数秒,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F005,MoGenTS,hml_orig100_train_002__full,simple_locomotion,没有走完一圈,a person looking to their right walks in a tight circle while continuing to face the same direction. they look to be slightly off balance,wrong_trajectory_or_path,missing_subaction,没有走完一圈,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F006,MoGenTS,hml_orig100_train_006__full,simple_locomotion,左手拿,"a person picks up a cloth/sponge with their right hand, then walks over to an object, lifts it with their left hand and washes/wipes it with the cloth.",wrong_limb_or_side,,左手拿,high,False,False,human_review,human_review,text requests right-hand pickup; rendered result uses left hand
F007,MoGenTS,hml_orig100_train_011__full,direction_turn,滑步严重，没有逆时针旋转,someone with outstretched arms spins counterclockwise,missing_subaction,pose_or_contact_artifact,滑步严重，没有逆时针旋转,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,absence of the required counterclockwise spin is the target-level failure and severe sliding is secondary artifact
F008,MoGenTS,hml_orig100_train_018__full,stop_go,用了双手,a standing person performs a cartwheel starting with their left hand,overgeneration_or_extra_motion,wrong_limb_or_side,用了双手,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,description directly flags bilateral hand use beyond the left-hand constraint but cartwheel wording keeps confidence medium
F009,MoGenTS,hml_orig100_train_019__full,stop_go,轨迹不是8,"a person quickly sprints in a figure-eight pattern, stopping briefly at each side to carefully turn.",wrong_trajectory_or_path,,轨迹不是8,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F010,MoGenTS,hml_orig100_train_028__full,sit_squat_posture,没回到远处放置,"a persons walks forward, bends down to pick something up, then walks in a circle and sets it back down.",missing_subaction,object_interaction_error;wrong_trajectory_or_path,没回到远处放置,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,return-to-place phase is not completed and placement/path aspects are secondary
F011,MoGenTS,hml_orig100_train_033__full,jump_kick,右腿踢的,the woman angerily kicked at the ground with her left foot.,wrong_limb_or_side,,右腿踢的,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F012,MoGenTS,hml_orig100_train_035__full,jump_kick,身体扭动异常,a person kicked with the left leg,pose_or_contact_artifact,,身体扭动异常,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F013,MoGenTS,hml_orig100_train_041__full,upper_body_gesture,甩的右手,a person acting traumatic throwing his left hand.,wrong_limb_or_side,,甩的右手,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F014,MoGenTS,hml_orig100_train_050__full,object_interaction,缺少turns to the left,a man turns to the left and reaches up to grab something with his left hands.,missing_subaction,wrong_limb_or_side;orientation_or_facing_error,缺少turns to the left,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F015,MoGenTS,hml_orig100_train_065__full,multi_action_composition,朝向一直在变,"a man emulates jogging, shuffling around in a couple counterclockwise circles while keeping his body facing forward the whole time.",orientation_or_facing_error,,朝向一直在变,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F016,MoGenTS,hml_orig100_train_067__full,multi_action_composition,没有back回原位,"a person bends down and crawls forward, then back and then stands up.",missing_subaction,wrong_trajectory_or_path,没有back回原位,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,required backward return phase is explicitly absent
