sample_id	event_id	event_order	event_text	single_event_prompt	expected_motion_cue	observable_cue	target_dimension	role	used_for	limitations
p1evt_1_gesture_clap	p1evt_1_gesture_clap__event_01	1	clapping their hands	a person clapping their hands.	hands move together in a clapping gesture	both hands approach and separate near the torso or chest	upper_body_gesture	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_1_locomotion_walk	p1evt_1_locomotion_walk__event_01	1	walking straight	a man walking straight.	straight walking motion	root moves along a mostly straight path with regular steps	locomotion_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_2_walk_turn	p1evt_2_walk_turn__event_01	1	walking forward	the person is walking forward.	forward walking	root advances forward with walking steps	locomotion_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_2_walk_turn	p1evt_2_walk_turn__event_02	2	turning around	the person is turning around.	turnaround rotation	body heading rotates roughly half a turn	direction_change	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_2_walk_stop	p1evt_2_walk_stop__event_01	1	walks	a person walks.	walking motion	root moves with alternating steps	locomotion	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_2_walk_stop	p1evt_2_walk_stop__event_02	2	stops	a person stops.	motion comes to a stop	root and limb velocities decrease to a stationary pose	stop_go	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_01	1	takes a few steps	a person takes a few steps.	short walking segment	root advances for a few steps	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_02	2	squats twice	a person squats twice.	two squat repetitions	body lowers and rises twice	count_duration	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_03	3	turns and walks back	a person turns and walks back.	turnaround followed by return walk	heading reverses and root path returns	order_transition	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_01	1	takes three steps forward	a person takes three steps forward.	three forward steps	root advances with about three step cycles	count_direction	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_02	2	takes one step back	a person takes one step back.	single backward step	root briefly moves backward	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_03	3	continues walking forward	a person continues walking forward.	forward walking resumes	root resumes forward travel after the backward step	order_transition	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_01	1	turns to left	a person turns to the left.	left turn at start	body heading rotates left	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_02	2	takes three steps forward	a person takes three steps forward.	three forward steps	root advances with about three step cycles	count_duration	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_03	3	sits down	a person sits down.	sit-down posture transition	hips lower into a seated pose	posture	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_04	4	walks back to starting place	a person walks back to the starting place.	return walk to the start	root path returns toward initial position	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_01	1	jumps to the right	a person jumps to the right.	rightward jump	root or feet shift to the actor's right	left_right	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_02	2	jumps to the left	a person jumps to the left.	leftward jump	root or feet shift to the actor's left	left_right	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_03	3	turns around and walks back to the start	a person turns around and walks back to the start.	turnaround and return walk	orientation reverses and root path returns	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_04	4	jumping once again	a person jumps once again.	additional jump after return	one more jump occurs near the end	count_duration	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_01	1	steps forward	a man steps forward.	forward step before gestures	root advances before the first bow	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_02	2	bows	a man bows.	first bow	torso pitches forward once	body_part	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_03	3	turns to his right	a man turns to his right.	right turn after first bow	heading rotates right after the first bow	direction_path	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_04	4	bows again	a man bows again.	second bow	second torso-forward bow occurs after the turn	count_duration	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_05	5	turns once again to his right	a man turns once again to his right.	second right turn	another rightward heading change closes the sequence	count_duration	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_01	1	from a squat a person stands up	from a squat, a person stands up.	squat-to-stand transition	body rises from low squat to upright	posture	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_02	2	jogs slowly in place	a person jogs slowly in place.	slow in-place jog	small repeated steps with low travel	speed_transition	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_03	3	then faster	a person jogs faster in place.	faster jog after slow jog	step cadence increases	speed_transition	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_04	4	stops	a person stops.	explicit stop after jogging	root and limb motion pause	stop_go	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_05	5	backs up and squats again	a person backs up and squats again.	backward movement into squat	root moves backward and body lowers again	posture	diagnostic_design	single_event_transfer_probe	manual_event_decomposition;not_ground_truth_temporal_boundary;needs_motion_side_review
