state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,S,Light-X: Generative 4D Video Rendering with Camera and Illumination Control,ICLR 2026,,https://openreview.net/forum?id=VBew6vESGL,ICLR_2026_3d4d_supplement_20260612 | score=177 | reasons=3d4d_generation;dynamic_4d;explicit_4d;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=1,
Wait,S,Mango-GS: Enhancing Spatio-Temporal Consistency in Dynamic Scenes Reconstruction using Multi-Frame Node-Guided 4D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=N4VKlSxCLc,ICLR_2026_3d4d_supplement_20260612 | score=155 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d;reconstruction | ds_review=keep | candidate_rank=2,
Wait,S,Uncertainty Matters in Dynamic Gaussian Splatting for Monocular 4D Reconstruction,ICLR 2026,,https://openreview.net/forum?id=m3rZ7Fdlst,ICLR_2026_3d4d_supplement_20260612 | score=155 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d;reconstruction | ds_review=keep | candidate_rank=3,
Wait,S,D$^2$GS: Depth-and-Density Guided Gaussian Splatting for Stable and Accurate Sparse-View Reconstruction,ICLR 2026,,https://openreview.net/forum?id=7yvz93kBw9,ICLR_2026_3d4d_supplement_20260612 | score=139 | reasons=3d_gaussian_splatting;3d_perception_geometry;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=6,
Wait,S,Geometry-aware 4D Video Generation for Robot Manipulation,ICLR 2026,,https://openreview.net/forum?id=18gC6pZVVc,ICLR_2026_3d4d_supplement_20260612 | score=139 | reasons=3d4d_generation;dynamic_4d;explicit_4d;visual_spatial_3d | ds_review=keep | candidate_rank=8,
Wait,S,ODE-GS: Latent ODEs for Dynamic Scene Extrapolation with 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=XlRbpFj3lJ,ICLR_2026_3d4d_supplement_20260612 | score=134 | reasons=3d4d_generation;3d_gaussian_splatting;dynamic_4d;visual_spatial_3d | ds_review=keep | candidate_rank=10,
Wait,S,Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements,ICLR 2026,,https://openreview.net/forum?id=MWtXs60n38,ICLR_2026_3d4d_supplement_20260612 | score=123 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=12,
Wait,S,Mono4DGS-HDR: High Dynamic Range 4D Gaussian Splatting from Alternating-exposure Monocular Videos,ICLR 2026,,https://openreview.net/forum?id=9ZrjgzlAuh,ICLR_2026_3d4d_supplement_20260612 | score=123 | reasons=3d_gaussian_splatting;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=13,
Wait,S,CylinderSplat: 3D Gaussian Splatting with Cylindrical Triplanes for Panoramic Novel View Synthesis,ICLR 2026,,https://openreview.net/forum?id=lEzkct87Uy,ICLR_2026_3d4d_supplement_20260612 | score=122 | reasons=3d_gaussian_splatting;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=14,
Wait,S,WorldSplat: Gaussian-Centric Feed-Forward 4D Scene Generation for Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=KWeX6tYno6,ICLR_2026_3d4d_supplement_20260612 | score=121 | reasons=3d4d_generation;explicit_4d;visual_spatial_3d | ds_review=keep | candidate_rank=15,
Wait,A,Signal Structure-Aware Gaussian Splatting for Large-Scale Scene Reconstruction,ICLR 2026,,https://openreview.net/forum?id=DavFcTeTbK,ICLR_2026_3d4d_supplement_20260612 | score=116 | reasons=3d_gaussian_splatting;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=17,
