prompt_id	sample_id	event_id	event_order	prompt_type	prompt	source_event_text	condition_pair	role	used_for	limitations
p1evt_1_gesture_clap__event_01__single	p1evt_1_gesture_clap	p1evt_1_gesture_clap__event_01	1	single_event	a person clapping their hands.	clapping their hands	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_1_locomotion_walk__event_01__single	p1evt_1_locomotion_walk	p1evt_1_locomotion_walk__event_01	1	single_event	a man walking straight.	walking straight	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_2_walk_turn__event_01__single	p1evt_2_walk_turn	p1evt_2_walk_turn__event_01	1	single_event	the person is walking forward.	walking forward	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_2_walk_turn__event_02__single	p1evt_2_walk_turn	p1evt_2_walk_turn__event_02	2	single_event	the person is turning around.	turning around	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_2_walk_stop__event_01__single	p1evt_2_walk_stop	p1evt_2_walk_stop__event_01	1	single_event	a person walks.	walks	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_2_walk_stop__event_02__single	p1evt_2_walk_stop	p1evt_2_walk_stop__event_02	2	single_event	a person stops.	stops	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_3_walk_squat_return__event_01__single	p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_01	1	single_event	a person takes a few steps.	takes a few steps	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_3_walk_squat_return__event_02__single	p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_02	2	single_event	a person squats twice.	squats twice	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_3_walk_squat_return__event_03__single	p1evt_3_walk_squat_return	p1evt_3_walk_squat_return__event_03	3	single_event	a person turns and walks back.	turns and walks back	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_3_forward_back_forward__event_01__single	p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_01	1	single_event	a person takes three steps forward.	takes three steps forward	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_3_forward_back_forward__event_02__single	p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_02	2	single_event	a person takes one step back.	takes one step back	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
