sample_id	filename	source_identity	split	caption	caption_source	caption_word_count	event_count	duration_frames_120fps	duration_frames_20fps_est	package	category	take_name	take_actor	take_date	actor_uid	is_mirror	move_soma_uniform_path	shape_path	temporal_events_json	role	used_for	limitations
soma30k_00001	come_up_50cm_box_R_001__A376	230517|come_up_50cm_box_R_001|A376|come_up_50cm_box_R_001__A376	train	step up on a box using hands for support, starting with right foot and ending with left	content_natural_desc_1	17	1	275	45	Locomotion	Baseline	come_up_50cm_box_R_001	A376	230517	A376	False	soma_uniform/bvh/230517/come_up_50cm_box_R_001__A376.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.2,""description"":""A person standing on the ground steps up on a raised platform and stands still, facing forward.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00004	body_stretch_2_004__A098	230103|body_stretch_opt_2_004|A098|body_stretch_2_004__A098	train	perform a bend forward with straight legs in a single, fluid movement	content_natural_desc_1	12	1	627	104	Sport	Sports	body_stretch_opt_2_004	A098	230103	A098	False	soma_uniform/bvh/230103/body_stretch_2_004__A098.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.15,""description"":""A person bends over and extends their hands towards the ground, straining to touch it. Their head is slightly turned to the right.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00006	inj_right_leg_idle_loop_max_001__A073	221125|injured_R_leg_idle_max_001|A073|inj_right_leg_idle_loop_max_001__A073	train	standing with an injured right leg with maximum expression	content_natural_desc_1	9	1	791	131	Locomotion	Basic Locomotion Styles	injured_R_leg_idle_max_001	A073	221125	A073	False	soma_uniform/bvh/221125/inj_right_leg_idle_loop_max_001__A073.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":6.5,""description"":""A person stands with an injured right leg, leaning to the left.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00007	jog_ff_loop_180_R_002__A193	230214|jog_ff_loop_180_R_002|A193|jog_ff_loop_180_R_002__A193	train	person jogs forward without speeding up to a run	content_natural_desc_2	9	1	648	108	Locomotion	Baseline	jog_ff_loop_180_R_002	A193	230214	A193	False	soma_uniform/bvh/230214/jog_ff_loop_180_R_002__A193.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.25,""description"":""A person quickly jogs forward with forearms moving up and down.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00008	dance_hiphop_cabath_path_R_fast_002__A319	230413|dance_hiphop_cabath_path_R_fast_002|A319|dance_hiphop_cabath_path_R_fast_002__A319	train	in a rhythmic motion, the person steps backwards and pushes their arms away, dancing dramatically	content_natural_desc_1	15	1	1081	180	Dances	Dancing	dance_hiphop_cabath_path_R_fast_002	A319	230413	A319	False	soma_uniform/bvh/230413/dance_hiphop_cabath_path_R_fast_002__A319.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":9.033333,""description"":""A person is dancing while stretching and rotating its hand.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00009	dance_latino_salsa_step_sides_R_001__A324	230414|dance_latino_salsa_step_sides_R_001|A324|dance_latino_salsa_step_sides_R_001__A324	train	a latino dance step with a bit of hip movement	content_natural_desc_1	10	1	1087	181	Dances	Dancing	dance_latino_salsa_step_sides_R_001	A324	230414	A324	False	soma_uniform/bvh/230414/dance_latino_salsa_step_sides_R_001__A324.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":9.0,""description"":""A person is performing salsa dance steps from side to side while rhythmically swaying their arms around in front of their torso.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00010	sit_croos_legged_stop_004__A024	220713|sit_cross_legged_stop_R_004|A024|sit_croos_legged_stop_004__A024	train	from a sitting position with crossed legs, stand up with the right foot first	content_natural_desc_1	14	1	436	72	Locomotion	Basic Locomotion Neutral	sit_cross_legged_stop_R_004	A024	220713	A024	False	soma_uniform/bvh/220713/sit_croos_legged_stop_004__A024.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.55,""description"":""A person sitting on the ground with their legs crossed gets up steadily.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00012	sitting_legs_crossed_arms_front_loop_R_002__A411	230530|sitting_legs_crossed_arms_front_loop_R_002|A411|sitting_legs_crossed_arms_front_loop_R_002__A411	train	someone sitting cross-legged with hands clasped in front	content_natural_desc_1	9	1	880	146	Locomotion	Basic Locomotion Neutral	sitting_legs_crossed_arms_front_loop_R_002	A411	230530	A411	False	soma_uniform/bvh/230530/sitting_legs_crossed_arms_front_loop_R_002__A411.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":7.25,""description"":""A person is sitting with their legs crossed and their hands grabbing their right leg.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00014	crawl_ff_start_270_003__A132	230120|crawl_ff_start_270_R_003|A132|crawl_ff_start_270_003__A132	train	crawling forward while facing right from a frog position	content_natural_desc_1	9	1	1072	178	Gaming	Unusual Locomotion	crawl_ff_start_270_R_003	A132	230120	A132	False	soma_uniform/bvh/230120/crawl_ff_start_270_003__A132.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":8.85,""description"":""A person sturdily crawls to their right with the help of their hands and legs.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00015	jump_ff_270_R_001__A475	231010|jump_ff_270_R_001|A475|jump_ff_270_R_001__A475	train	a short jump to the right from a standing position	content_natural_desc_1	10	1	311	51	Locomotion	Baseline	jump_ff_270_R_001	A475	231010	A475	False	soma_uniform/bvh/231010/jump_ff_270_R_001__A475.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.5,""description"":""A person makes a quick horizontal jump toward their right side.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00016	sit_on_heels_stop_001__A034	220721|sit_on_heels_stop_R_001|A034|sit_on_heels_stop_001__A034	train	person gets up from sitting on their heels	content_natural_desc_1	8	1	491	81	Locomotion	Basic Locomotion Neutral	sit_on_heels_stop_R_001	A034	220721	A034	False	soma_uniform/bvh/220721/sit_on_heels_stop_001__A034.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":4.0,""description"":""A person sitting on their knees gets up and stands idle, facing forward.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00017	walk_hands_on_back_loop_001__A058	221115|walk_hands_on_back_180_loop_R_001|A058|walk_hands_on_back_loop_001__A058	train	person walks forward while keeping their hands behind their back	content_natural_desc_1	10	1	548	91	Locomotion	Basic Locomotion Neutral	walk_hands_on_back_180_loop_R_001	A058	221115	A058	False	soma_uniform/bvh/221115/walk_hands_on_back_loop_001__A058.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":4.5,""description"":""A person is steadily walking forward with their hands on their back while looking around casually.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
