paper_list_line,venue,paper_title,note,attempts
3375,SIGGRAPH 2025,Appearance-Preserving Scene Aggregation for Level-of-Detail Rendering,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_118&sess=sess123"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_no_match:0.00:""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3441,SIGGRAPH 2025,Don’t Splat your Gaussians: Volumetric Ray-Traced Primitives for Modeling and Rendering Scattering and Emissive Media,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_109&sess=sess119"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_no_match:0.00:""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3421,SIGGRAPH 2025,DAMO: A Deep Solver for Arbitrary Marker Configuration in Optical Motion Capture,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_120&sess=sess111"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_no_match:0.00:""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3462,SIGGRAPH 2025,Encoded Marker Clusters for Auto-Labeling in Optical Motion Capture,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_115&sess=sess111"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_no_match:0.00:""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3594,SIGGRAPH 2025,Noise-Coded Illumination for Forensic and Photometric Video Analysis,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_124&sess=sess159"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_http_429""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3609,SIGGRAPH 2025,Patch-Grid: An Efficient and Feature-Preserving Neural Implicit Surface Representation,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_119&sess=sess140"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_error:ReadTimeout:HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=25)""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3617,SIGGRAPH 2025,Policy-Space Diffusion for Physics-Based Character Animation,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_102&sess=sess156"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_error:ReadTimeout:HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=25)""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3636,SIGGRAPH 2025,RNA: Relightable Neural Assets,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_114&sess=sess123"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_error:ReadTimeout:HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=25)""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3698,SIGGRAPH 2025,Texture Size Reduction Through Symmetric Overlap and Texture Carving,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=paperstog_108&sess=sess130"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_no_match:0.00:""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
3732,SIGGRAPH 2025,You Can Grow Here: A Therapeutic VR Journey for Anxiety Management,crossref_skipped,"[{""url"": ""https://s2025.conference-schedule.org/presentation/?id=pos_353&sess=sess425"", ""source"": ""csv:paper_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": ""https://s2025.conference-schedule.org/presentation/?id=pos_353&sess=sess402"", ""source"": ""csv:project_link_or_github_link"", ""result"": ""landing:html"", ""extracted"": ""0"", ""dois"": """"}, {""url"": """", ""source"": ""arxiv:title_search"", ""result"": ""arxiv_http_429""}, {""url"": """", ""source"": ""crossref:title_search"", ""result"": ""crossref_skipped""}]"
