topic_id,topic_label,rank_within_topic,openreview_forum_id,title,primary_confidence,primary_score,secondary_topic_ids,matched_phrases
alignment_safety,"Alignment, Safety & Preference Learning",1,tz9mJmgrdM,Is On-Policy Data always the Best Choice for Direct Preference Optimization-Based LM Alignment?,0.99,71.4,,"alignment, preference, direct preference optimization, dpo"
alignment_safety,"Alignment, Safety & Preference Learning",2,PJdw4VBsXD,SafeDPO: A Simple Approach to Direct Preference Optimization with Enhanced Safety,0.99,59.3,,"alignment, preference, direct preference optimization, dpo, safety"
alignment_safety,"Alignment, Safety & Preference Learning",3,9yS40pO1RF,Superficial Safety Alignment Hypothesis,0.99,57.6,,"alignment, safety, alignment tax"
alignment_safety,"Alignment, Safety & Preference Learning",4,OuMNJoKJBQ,Alignment-Weighted DPO: A principled reasoning approach to improve safety alignment,0.99,53.3,llm_reasoning_agents,"alignment, preference, direct preference optimization, dpo, safety"
alignment_safety,"Alignment, Safety & Preference Learning",5,wqbnA6PcKr,$\alpha$-DPO: Robust Preference Alignment for Diffusion Models via $\alpha$ Divergence,0.99,51.75,diffusion_generation,"alignment, preference, direct preference optimization, dpo"
alignment_safety,"Alignment, Safety & Preference Learning",6,btEiAfnLsX,Why DPO is a Misspecified Estimator and How to Fix It,0.99,49.7,,"alignment, preference, direct preference optimization, dpo"
alignment_safety,"Alignment, Safety & Preference Learning",7,2XNb1JUKW3,AlphaAlign: Incentivizing Safety Alignment with Extremely Simplified Reinforcement Learning,0.99,46.3,,"alignment, safety, jailbreak"
alignment_safety,"Alignment, Safety & Preference Learning",8,GFyVxtyMvq,Mitigating the Safety Alignment Tax with Null-Space Constrained Policy Optimization,0.99,46.3,,"alignment, safety, alignment tax"
alignment_safety,"Alignment, Safety & Preference Learning",9,G7DBGlgjjp,Uni-DPO: A Unified Paradigm for Dynamic Preference Optimization of LLMs,0.99,43.5,,"preference, direct preference optimization, dpo"
alignment_safety,"Alignment, Safety & Preference Learning",10,ekOwxTn65Y,P$^2$-DPO: Grounding Hallucination in Perceptual Processing via Calibration Direct Preference Optimization,0.99,42.05,,"preference, direct preference optimization, dpo"
diffusion_generation,Diffusion & Generative Modeling,1,BDnOrExHmt,PixNerd: Pixel Neural Field Diffusion,0.99,76.8,,"diffusion, diffusion model"
diffusion_generation,Diffusion & Generative Modeling,2,ULXYZCms41,Geometry Forcing: Marrying Video Diffusion and 3D Representation for Consistent World Modeling,0.99,57.2,,"diffusion, diffusion model, video generation, generation"
diffusion_generation,Diffusion & Generative Modeling,3,JNAZ3e7Bwt,Continuously Augmented Discrete Diffusion model for Categorical Generative Modeling,0.99,55.0,,"diffusion, diffusion model, generative model, denoising, generation"
diffusion_generation,Diffusion & Generative Modeling,4,fUO37EVR7j,RefAny3D: 3D Asset-Referenced Diffusion Models for Image Generation,0.99,55.0,,"diffusion, diffusion model, image generation, generation"
diffusion_generation,Diffusion & Generative Modeling,5,IqXlvYA7En,Condition Errors Refinement in Autoregressive Image Generation with Diffusion Loss,0.99,52.8,,"diffusion, diffusion model, image generation, denoising, generation"
diffusion_generation,Diffusion & Generative Modeling,6,9WJoD0iDig,Foresight Diffusion: Improving Sampling Consistency in Predictive Diffusion Models,0.99,52.2,,"diffusion, diffusion model, denoising, generation"
diffusion_generation,Diffusion & Generative Modeling,7,X7JfjLKKLQ,Diagnosing and Improving Diffusion Models by Estimating the Optimal Loss Value,0.99,51.0,,"diffusion, diffusion model, generative model"
diffusion_generation,Diffusion & Generative Modeling,8,5ekhMkawuT,Quantization-Aware Diffusion Models For Maximum Likelihood Training,0.99,49.0,,"diffusion, diffusion model, generative model, image generation, generation"
diffusion_generation,Diffusion & Generative Modeling,9,YE5scJekg5,DM4CT: Benchmarking Diffusion Models for Computed Tomography Reconstruction,0.99,48.7,,"diffusion, diffusion model, image generation, generation"
diffusion_generation,Diffusion & Generative Modeling,10,Eg3KqoI9tS,TPDiff: Temporal Pyramid Video Diffusion Model,0.99,48.5,,"diffusion, diffusion model, video generation, generation"
efficient_llm_systems,"Efficient Models, Scaling & Systems",1,eUjUReZoYR,Learning under Quantization for High-Dimensional Linear Regression,0.99,40.8,,"efficient, quantization"
efficient_llm_systems,"Efficient Models, Scaling & Systems",2,aNVKROYpLB,KV Cache Transform Coding for Compact Storage in LLM Inference,0.99,39.05,,"efficient, compression, quantization, kv cache"
efficient_llm_systems,"Efficient Models, Scaling & Systems",3,KWtOTMMvKU,Prune-then-Quantize or Quantize-then-Prune? Understanding the Impact of Compression Order in Joint Model Compression,0.99,38.7,,"efficiency, compression, pruning, quantization"
efficient_llm_systems,"Efficient Models, Scaling & Systems",4,2za3iNkwXn,When Reasoning Meets Compression: Understanding the Effects of LLMs Compression on Large Reasoning Models,0.99,37.8,llm_reasoning_agents,"efficiency, compression, pruning, quantization, distillation"
efficient_llm_systems,"Efficient Models, Scaling & Systems",5,YNqZqw4fLT,SliderQuant: Accurate Post-Training Quantization for LLMs,0.99,37.5,llm_reasoning_agents,quantization
efficient_llm_systems,"Efficient Models, Scaling & Systems",6,VpZ8YYdBmT,Improving Block-Wise LLM Quantization by 4-bit Block-Wise Optimal Float (BOF4): Analysis and Variations,0.99,36.3,,"efficient, quantization"
efficient_llm_systems,"Efficient Models, Scaling & Systems",7,iOGu4wtDTF,UniQL: Unified Quantization and Low-rank Compression for Adaptive Edge LLMs,0.99,34.7,,"efficient, compression, pruning, quantization, throughput"
efficient_llm_systems,"Efficient Models, Scaling & Systems",8,ZXr3Xx7Z1O,Training Dynamics Impact Post-Training Quantization Robustness,0.99,33.65,,"efficient, quantization"
efficient_llm_systems,"Efficient Models, Scaling & Systems",9,Vem6FQvRvq,PM-KVQ: Progressive Mixed-precision KV Cache Quantization for Long-CoT LLMs,0.99,32.6,llm_reasoning_agents,"compression, quantization, kv cache, long context"
efficient_llm_systems,"Efficient Models, Scaling & Systems",10,mVldAuDAn5,Beyond Outliers: A Study of Optimizers Under Quantization,0.99,32.3,,"scaling law, efficient, efficiency, quantization"
graph_learning,Graph Learning,1,Tvat33IDmK,On The Expressive Power of GNN Derivatives,0.99,43.0,,"graph neural network, graph learning, gnn"
graph_learning,Graph Learning,2,NqtYz3A8tQ,Training-free Counterfactual Explanation for Temporal Graph Model Inference,0.99,34.8,time_series_sequential,"graph neural network, temporal graph, gnn, node classification"
graph_learning,Graph Learning,3,nqZe43tRY9,LogicXGNN: Grounded Logical Rules for Explaining Graph Neural Networks,0.99,28.9,,"graph neural network, gnn"
graph_learning,Graph Learning,4,X7eYISNf01,Paradigm Shift of GNN Explainer from Label Space to Prototypical Representation Space,0.99,26.4,,"graph neural network, graph representation, gnn"
graph_learning,Graph Learning,5,FmxRzlu0rT,Learning Posterior Predictive Distributions for Node Classification from Synthetic Graph Priors,0.99,24.6,,"graph neural network, graph learning, graph generation, gnn, node classification"
graph_learning,Graph Learning,6,ZSfgsh43vT,Full-Graph vs. Mini-Batch Training: Comprehensive Analysis from a Batch Size and Fan-Out Size Perspective,0.99,23.4,optimization_theory,"graph neural network, gnn"
graph_learning,Graph Learning,7,eHhUYoZwWs,AdaSpec: Adaptive Spectrum for Enhanced Node Distinguishability,0.99,23.2,,"graph neural network, graph learning, gnn, node classification"
