root_id,root_label,subtopic_id,subtopic_label,subtopic_source,paper_count,example_titles
other_unclear,Other / Unclear,other_unclear,Other / Unclear,fallback_other,477,$\nabla$-Reasoner: LLM Reasoning via Test-Time Gradient Descent in Latent Space | A Brain Graph Foundation Model: Pre-Training and Prompt-Tuning across Broad Atlases and Disorders | A Stitch in Time Saves Nine: Proactive Self-Refinement for Language Models | A Two-Phase Deep Learning Framework for Adaptive Time-Stepping in High-Speed Flow Modeling | Achieving Olympia-Level Geometry Large Language Model Agent via Complexity Boosting Reinforcement Learning
vision_multimodal_applications,Vision / Multimodal Applications,vision_models_multimodal,Vision Models & Multimodal,official_virtual_topic,363,"3D Aware Region Prompted Vision Language Model | A Comprehensive Information-Decomposition Analysis of Large Vision-Language Models | A Training-Free Framework for Long Video Understanding via Video-Query-Options Similarity | A.I.R.: Enabling Adaptive, Iterative, and Reasoning-based Frame Selection For Video Question Answering | AC-Foley: Reference-Audio-Guided Video-to-Audio Synthesis with Acoustic Transfer"
vision_multimodal_applications,Vision / Multimodal Applications,language_speech_and_dialog,"Language, Speech and Dialog",official_virtual_topic,318,A Balanced Neuro-Symbolic Approach for Commonsense Abductive Logic | A Fano-Style Accuracy Upper Bound for LLM Single-Pass Reasoning in Multi-Hop QA | A$^2$FM: An Adaptive Agent Foundation Model for Tool-Aware Hybrid Reasoning | A$^2$Search: Ambiguity-Aware Question Answering with Reinforcement Learning | ACADREASON: Exploring the Limits of Reasoning Models with Academic Research Problems
generative_models_diffusion,Generative Models & Diffusion,generative_models_and_autoencoders,Generative Models and Autoencoders,official_virtual_topic,287,"A Bayesian Nonparametric Framework For Learning Disentangled Representations | A Probabilistic Hard Concept Bottleneck for Steerable Generative Models | A Statistical Learning Perspective on Semi-dual Adversarial Neural Optimal Transport Solvers | A Study of Posterior Stability in Time-Series Latent Diffusion | A Unification of Discrete, Gaussian, and Simplicial Diffusion"
vision_multimodal_applications,Vision / Multimodal Applications,image_and_video_generation,Image and Video Generation,official_virtual_topic,282,$\alpha$-DPO: Robust Preference Alignment for Diffusion Models via $\alpha$ Divergence | $\textit{MADFormer}$: Mixed Autoregressive and Diffusion Transformers for Continuous Image Generation | 3D Scene Prompting for Scene-Consistent Camera-Controllable Video Generation | ACCORD: Alleviating Concept Coupling through Dependence Regularization for Text-to-Image Diffusion Personalization | AdaViewPlanner: Adapting Video Diffusion Models for Viewpoint Planning in 4D Scenes
representation_self_supervised_transfer,"Representation, Self-Supervision & Transfer",representation_learning,Representation Learning,official_virtual_topic,237,$\boldsymbol{\partial^\infty}$-Grid: A Neural Differential Equation Solver with Differentiable Feature Grids | $\ell_1$ Latent Distance based Continuous-time Graph Representation | A Federated Generalized Expectation-Maximization Algorithm for Mixture Models with an Unknown Number of Components | A Generalized Geometric Theoretical Framework of Centroid Discriminant Analysis for Linear Classification of Multi-dimensional Data | A Single Architecture for Representing Invariance Under Any Space Group
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",deep_rl,Deep RL,official_virtual_topic,225,"$\textbf{Re}^{2}$: Unlocking LLM Reasoning via Reinforcement Learning with Re-solving | 3D-aware Disentangled Representation for Compositional Reinforcement Learning | A Primer on SO(3) Action Representations in Deep Reinforcement Learning | A Reward-Free Viewpoint on Multi-Objective Reinforcement Learning | A Simple ""Motivation"" Can Enhance Reinforcement Finetuning of Large Reasoning Models"
generative_models_diffusion,Generative Models & Diffusion,diffusion_image_video,Diffusion for Image / Video Generation,keyword_refinement,158,A Noise is Worth Diffusion Guidance | AC-Sampler: Accelerate and Correct Diffusion Sampling with Metropolis-Hastings Algorithm | Aligning Deep Implicit Preferences by Learning to Reason Defensively | AMiD: Knowledge Distillation for LLMs with $\alpha$-mixture Assistant Distribution | An Ensemble Framework for Unbiased Language Model Watermarking
generative_models_diffusion,Generative Models & Diffusion,algorithms,Algorithms,official_virtual_topic,150,(U)NFV: (Un)Supervised Neural Finite Volume Methods for Solving Hyperbolic PDEs | Achieving low-bit Muon through subspace preservation and grid quantization | Adaptive Nonlinear Compression for Large Foundation Models | ADEPT: Continual Pretraining via Adaptive Expansion and Dynamic Decoupled Tuning | Alignment-Enhanced Integration of Connectivity and Spectral Sparsity in Dynamic Sparse Training of LLM
vision_multimodal_applications,Vision / Multimodal Applications,robotics,Robotics,official_virtual_topic,146,$AutoDrive\text{-}P^3$: Unified Chain of Perception–Prediction–Planning Thought via Reinforcement Fine-Tuning | Abstracting Robot Manipulation Skills via Mixture-of-Experts Diffusion Policies | Accelerated co-design of robots through morphological pretraining | Action-aware Dynamic Pruning for Efficient Vision-Language-Action Manipulation | Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting
