sample_id	source_id	source_kind	source_text_path	motion_id	caption_idx	event_count	full_prompt	primary_dimension	secondary_dimensions	selection_role	role	used_for	limitations
p1evt_1_gesture_clap	p1_clean_1event_002	humanml3d_candidate	linkedCodebases/MotionGPT/datasets/humanml3d/texts/007969.txt	007969	2	1	a person clapping their hands	gesture	upper_body	event_count_1_gesture	diagnostic_design	event_transfer_probe_design	Candidate selected from caption heuristic; needs motion-side review before final benchmark use.
p1evt_1_locomotion_walk	p1_clean_1event_003	humanml3d_candidate	linkedCodebases/MotionGPT/datasets/humanml3d/texts/M011433.txt	M011433	2	1	a man walking straight.	locomotion	direction_path	event_count_1_locomotion	diagnostic_design	event_transfer_probe_design	Candidate selected from caption heuristic; mirrored motion id may need canonicalization when joining HumanML3D assets.
p1evt_2_walk_turn	p1_clean_2event_008	humanml3d_candidate	linkedCodebases/MotionGPT/datasets/humanml3d/texts/001985.txt	001985	0	2	the person is walking forward then turning around.	direction_change	locomotion;order_transition	event_count_2_direction_change	diagnostic_design	event_transfer_probe_design	Candidate selected from caption heuristic; event split is manual, not a temporal boundary label.
p1evt_2_walk_stop	p1_clean_2event_002	humanml3d_candidate	linkedCodebases/MotionGPT/datasets/humanml3d/texts/M013270.txt	M013270	1	2	a person walks, then stops.	stop_go	locomotion;order_transition	event_count_2_stop_go	diagnostic_design	event_transfer_probe_design	Candidate selected from caption heuristic; mirrored motion id may need canonicalization when joining HumanML3D assets.
p1evt_3_walk_squat_return	m0gt_frequency_transition_002	m0_gt_paired_fixed_repeat_20260510	linkedCodebases/MotionGPT/datasets/humanml3d/texts/003859.txt	003859	1	3	a person takes a few steps, squats twice, then turns and walks back.	count_transition	direction_path;posture;count_duration	event_count_3_existing_m0	diagnostic_design	event_transfer_probe_design	Grammar normalized from source prompt with duplicated 'and'; existing event decomposition reused as manual diagnostic design.
p1evt_3_forward_back_forward	humanml3d_text_M003558_1	humanml3d_candidate	linkedCodebases/MotionGPT/datasets/humanml3d/texts/M003558.txt	M003558	1	3	a person takes three steps forward, then takes one step back, and then continues walking forward.	direction_count	direction_path;count_duration;order_transition	event_count_3_candidate	diagnostic_design	event_transfer_probe_design	Candidate found by caption scan; event decomposition is manual and should be reviewed with motion-side evidence.
p1evt_4_turn_steps_sit_return	m0gt_omission_order_002	m0_gt_paired_fixed_repeat_20260510	linkedCodebases/MotionGPT/datasets/humanml3d/texts/011755.txt	011755	0	4	person turns to left, takes three steps forward, sits down, and then walks back to starting place.	order_posture	direction_path;count_duration;posture	event_count_4_existing_m0	diagnostic_design	event_transfer_probe_design	Existing M0 event decomposition reused; sitting event should be checked separately from return walk.
p1evt_4_jump_lr_return_jump	m0gt_left_right_frequency_001	m0_gt_paired_fixed_repeat_20260510	linkedCodebases/MotionGPT/datasets/humanml3d/texts/007706.txt	007706	0	4	person jumps to the right, then jumps to the left, then turns around and walks back to the start before jumping once again.	left_right_frequency	direction_path;count_duration;order_transition	event_count_4_existing_m0	diagnostic_design	event_transfer_probe_design	Laterality should be checked against actor-centric orientation and root/foot displacement.
p1evt_5_step_bow_turn_bow_turn	m0gt_frequency_order_001	m0_gt_paired_fixed_repeat_20260510	linkedCodebases/MotionGPT/datasets/humanml3d/texts/010736.txt	010736	2	5	a man steps forward, bows, then turns to his right, bows again, and then turns once again to his right.	frequency_order	direction_path;body_part;count_duration	event_count_5_existing_m0	diagnostic_design	event_transfer_probe_design	Bow gestures can be subtle; use torso pitch and sequence position.
p1evt_5_stand_jog_fast_stop_squat	m0gt_stop_go_transition_001	m0_gt_paired_fixed_repeat_20260510	linkedCodebases/MotionGPT/datasets/humanml3d/texts/004455.txt	004455	1	5	from a squat a person stands up, jogs slowly in place, then faster, stops, backs up and squats again.	stop_go_speed_posture	posture;speed_transition;stop_go	event_count_5_existing_m0	diagnostic_design	event_transfer_probe_design	Slow-to-fast jogging speed change is relative and should be read as a diagnostic side signal.
