path	source_url	title	venue	original_bytes	compressed_bytes	current_bytes
obsidian-vault/paperPDFs/SIGGRAPH_2025/Optimal_r_Adaptive_In_Timestep_Remeshing_for_Elastodynamics.pdf	https://dl.acm.org/doi/pdf/10.1145/3731204	Optimal r-Adaptive In-Timestep Remeshing for Elastodynamics	SIGGRAPH 2025	289762206	2486425	2486425
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/PhysiOpt_Physics_Driven_Shape_Optimization_for_3D_Generative_Models.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763884	PhysiOpt: Physics-Driven Shape Optimization for 3D Generative Models	SIGGRAPH ASIA 2025	149362074	1753914	1753914
obsidian-vault/paperPDFs/SIGGRAPH_2023/Computational_Exploration_of_Multistable_Elastic_Knots.pdf	https://dl.acm.org/doi/pdf/10.1145/3592399	Computational Exploration of Multistable Elastic Knots	SIGGRAPH 2023	146118726	2256145	2256145
obsidian-vault/paperPDFs/SIGGRAPH_2025/Field_Smoothness_Controlled_Partition_for_Quadrangulation.pdf	https://dl.acm.org/doi/pdf/10.1145/3730889	Field Smoothness-Controlled Partition for Quadrangulation	SIGGRAPH 2025	145454238	4051374	4051374
obsidian-vault/paperPDFs/SIGGRAPH_2025/Faraday_Cage_Estimation_of_Normals_for_Point_Clouds_and_Ribbon_Sketches.pdf	https://dl.acm.org/doi/pdf/10.1145/3731212	Faraday Cage Estimation of Normals for Point Clouds and Ribbon Sketches	SIGGRAPH 2025	144626170	1936921	1936921
obsidian-vault/paperPDFs/SIGGRAPH_2024/Semantic_Shape_Editing_With_Parametric_Implicit_Templates.pdf	https://doi.org/10.1145/3641519.3657421	Semantic Shape Editing With Parametric Implicit Templates	SIGGRAPH 2024	144357248	1061838	1061838
obsidian-vault/paperPDFs/SIGGRAPH_2024/A_Free_space_Diffraction_BSDF.pdf	https://dl.acm.org/doi/pdf/10.1145/3658166	A Free-space Diffraction BSDF	SIGGRAPH 2024	142070554	3254418	3254418
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Alignable_Lamella_Gridshells.pdf	https://dl.acm.org/doi/pdf/10.1145/3687898	Alignable Lamella Gridshells	SIGGRAPH ASIA 2024	140926160	985141	985141
obsidian-vault/paperPDFs/SIGGRAPH_2025/Physics_inspired_Estimation_of_Optimal_Cloth_Mesh_Resolution.pdf	https://dl.acm.org/doi/pdf/10.1145/3721238.3730619	Physics-inspired Estimation of Optimal Cloth Mesh Resolution	SIGGRAPH 2025	139680928	879432	879432
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/DeepMVSHair_Deep_Hair_Modeling_from_Sparse_Views.pdf	https://dl.acm.org/doi/pdf/10.1145/3550469.3555385	DeepMVSHair: Deep Hair Modeling from Sparse Views	SIGGRAPH ASIA 2022	139319096	665698	665698
