base_id,category,old_repeat_prompt,fixed_repeat_prompt,fix_rule
m0gt_long_horizon_001,long_horizon,"a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six steps, turns 180 degrees and jogs six steps, then stops and resumes his original position.","a person who is standing with his hands by his sides, turns and steps backwards, jogs forward six steps, turns 180 degrees and jogs four steps, turns 180 degrees and jogs four steps again, then stops and resumes his original position.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_object_sequence_001,long_horizon,"a person walks forward and takes a couple steps then bends down and picks something up twice, and then turns around and walks back. then bends down and looks like it sets something down.","a person walks forward and takes a couple steps then bends down and picks something up, bends down and picks something up again, and then turns around and walks back. then bends down and looks like it sets something down.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_turn_walk_001,long_horizon,"a man brings his arms down, turns to his left and walks, then turns around and walks again twice, turns and continues walking, then turns one final time as he stops in a standing position.","a man brings his arms down, turns to his left and walks, then turns around and walks again, then turns around and walks again, turns and continues walking, then turns one final time as he stops in a standing position.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_omission_order_001,omission_order,"figure stands, turns left and walks, stops twice, turns right and walks, turns left and stops halfway, turns forward, and then stands.","figure stands, turns left and walks, stops, stops again, turns right and walks, turns left and stops halfway, turns forward, and then stands.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_turn_reach_001,long_horizon,"a man turns to his left, walks forward, reaches out twice for something with his right hand, turns around counterclockwise, walks back, and then turns once again counterclockwise and walks.","a man turns to his left, walks forward, reaches out for something with his right hand, reaches out for something with his right hand again, turns around counterclockwise, walks back, and then turns once again counterclockwise and walks.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_left_right_frequency_001,left_right_frequency,"person jumps to the right, then jumps to the left twice, then turns around and walks back to the start before jumping once again.","person jumps to the right, then jumps to the left, then jumps to the left again, then turns around and walks back to the start before jumping once again.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_frequency_order_001,frequency_order,"a man steps forward, bows twice, then turns to his right, bows again, and then turns once again to his right.","a man steps forward, bows, bows again, then turns to his right, bows again, and then turns once again to his right.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_transition_frequency_001,transition_frequency,"a man holds his arms up and then bends over to touch his toes with both hands, raises back up, and then lifts his arms and rotates his torso twice, then leans to both sides once.","a man holds his arms up and then bends over to touch his toes with both hands, raises back up, and then lifts his arms and rotates his torso several times, then lifts his arms and rotates his torso several times again, then leans to both sides once.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_object_turn_001,long_horizon,"a person steps forward, turns counterclockwise twice, walks back, squats down, picks something up with their right hand, then turns counterclockwise and tosses the item over to his left hand as he walks back again.","a person steps forward, turns counterclockwise, turns counterclockwise again, walks back, squats down, picks something up with their right hand, then turns counterclockwise and tosses the item over to his left hand as he walks back again.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_stop_go_transition_001,stop_go_transition,"from a squat a person stands up, jogs slowly in place twice, then faster, stops, backs up and squats again.","from a squat a person stands up, jogs slowly in place, jogs slowly in place again, then faster, stops, backs up and squats again.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_omission_order_002,omission_order,"person turns to left, takes four steps forward, sits down, and then walks back to starting place.","person turns to left, takes three steps forward, takes three steps forward again, sits down, and then walks back to starting place.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_stop_go_left_right_001,stop_go_left_right,"a person walks diagonally forward, stops abruptly twice, grabs his head with his left hand, walks backward briefly, and then turn to the left and walks straight.","a person walks diagonally forward, stops abruptly, stops abruptly again, grabs his head with his left hand, walks backward briefly, and then turn to the left and walks straight.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_frequency_transition_002,frequency_transition,"a person takes a few steps, squats three times, then turns and walks back.","a person takes a few steps, squats twice, squats twice again, then turns and and walks back,",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_stop_go_001,stop_go,"a man walks forward, turns right and walks, stops twice, turns around and runs, stops again to turn around and runs again.","a man walks forward, turns right and walks, stops, stops again, turns around and runs, stops again to turn around and runs again.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_object_sequence_002,long_horizon,"person makes action of stuffing something into an object, bends over to put the object down twice before walking forward to bend over and pick up another object and place it a little bit to the left and then returns to original spot.","person makes action of stuffing something into an object, bends over to put the object down, bends over to put the object down again before walking forward to bend over and pick up another object and place it a little bit to the left and then returns to original spot.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_frequency_left_right_001,frequency_left_right,a person who is standing with his arms by his sides jumps in place three times and then shifts his body left and right while remaining in place.,"a person who is standing with his arms by his sides jumps in place twice, jumps in place twice again and then shifts his body left and right while remaining in place.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_stop_go_transition_002,stop_go_transition,"a person who is running, stops twice, bends over and looks down while taking small steps, then resumes running.","a person who is running, stops, stops again, bends over and looks down while taking small steps, then resumes running.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
m0gt_transition_order_001,transition_order,"a person gets down and crawls forward twice on their hands and feet, then turns around and crawls back before standing back up.","a person gets down and crawls forward on their hands and feet, crawls forward on their hands and feet again, then turns around and crawls back before standing back up.",repeat an existing full-text event as a separate event; do not alter the event-internal count/direction/action
