state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,A,Deformable Gaussian Occupancy: Decoupling Rigid and Nonrigid Motion with Factorized Distillation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_Deformable_Gaussian_Occupancy_Decoupling_Rigid_and_Nonrigid_Motion_with_Factorized_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,A,"MotionScale: Reconstructing Appearance, Geometry, and Motion of Dynamic Scenes with Scalable 4D Gaussian Splatting",CVPR 2026,,https://arxiv.org/abs/2603.29296,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,A,Real-Time Dynamic Scene Rendering with Controlled Compressibility and Contact Awareness,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Shi_Real-Time_Dynamic_Scene_Rendering_with_Controlled_Compressibility_and_Contact_Awareness_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,A,SpeeDe3DGS: Speedy Deformable 3D Gaussian Splatting with Temporal Pruning and Motion Grouping,CVPR 2026,,https://arxiv.org/abs/2506.07917,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,A,U4D: Uncertainty-Aware 4D World Modeling from LiDAR Sequences,CVPR 2026,,https://arxiv.org/abs/2512.02982,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=explicit_4d,world_modeling | ds_review=keep",
Wait,B,RAYNOVA: Scale-Temporal Autoregressive World Modeling in Ray Space,CVPR 2026,,https://arxiv.org/abs/2602.20685,"CVPR_2026_4d_supplement_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=23 | reasons=dynamic_spacetime,world_modeling | ds_review=keep",
Wait,B,SpaceTimePilot: Generative Rendering of Dynamic Scenes Across Space and Time,CVPR 2026,,https://arxiv.org/abs/2512.25075,"CVPR_2026_4d_supplement_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=23 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,$L^{2}DGS$: Low-Light Dynamic Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kumar_L2DGS_Low-Light_Dynamic_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,B,4C4D: 4 Camera 4D Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2604.04063,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",
Wait,B,4DEquine: Disentangling Motion and Appearance for 4D Equine Reconstruction from Monocular Video,CVPR 2026,,https://arxiv.org/abs/2603.10125,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,4DSurf: High-Fidelity Dynamic Scene Surface Reconstruction,CVPR 2026,,https://arxiv.org/abs/2603.28064,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
