state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,analysis_path
Downloaded,,3D-aware Disentangled Representation for Compositional Reinforcement Learning,ICLR 2026,,https://openreview.net/forum?id=GE0IFoDx8a,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/3D-aware_Disentangled_Representation_for_Compositional_Reinforcement_Learning.pdf,obsidian-vault/analysis/ICLR_2026/3D-aware_Disentangled_Representation_for_Compositional_Reinforcement_Learning.md
Downloaded,,3DCS: Datasets and Benchmark for Evaluating Conformational Sensitivity in Molecular Representations,ICLR 2026,,https://openreview.net/forum?id=JAb0y8lkqL,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/3DCS_Datasets_and_Benchmark_for_Evaluating_Conformational_Sensitivity_in_Molecular_Representations.pdf,obsidian-vault/analysis/ICLR_2026/3DCS_Datasets_and_Benchmark_for_Evaluating_Conformational_Sensitivity_in_Molecular_Representations.md
Downloaded,,3DSMT: A Hybrid Spiking Mamba-Transformer for Point Cloud Analysis,ICLR 2026,,https://openreview.net/forum?id=KkoS6y0pHP,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/3DSMT_A_Hybrid_Spiking_Mamba-Transformer_for_Point_Cloud_Analysis.pdf,obsidian-vault/analysis/ICLR_2026/3DSMT_A_Hybrid_Spiking_Mamba-Transformer_for_Point_Cloud_Analysis.md
Downloaded,,3DSMT A Hybrid Spiking Mamba-Transformer for Point Cloud Analysis,ICLR 2026,,https://openreview.net/forum?id=KkoS6y0pHP,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/3DSMT_A_Hybrid_Spiking_Mamba_Transformer_for_Point_Cloud_Analysis.pdf,obsidian-vault/analysis/ICLR_2026/3DSMT_A_Hybrid_Spiking_Mamba_Transformer_for_Point_Cloud_Analysis.md
Downloaded,,3D Aware Region Prompted Vision Language Model,ICLR 2026,,https://openreview.net/forum?id=GTpf2NuwtR,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/3D_Aware_Region_Prompted_Vision_Language_Model.pdf,obsidian-vault/analysis/ICLR_2026/3D_Aware_Region_Prompted_Vision_Language_Model.md
Downloaded,,3D Scene Prompting for Scene-Consistent Camera-Controllable Video Generation,ICLR 2026,,https://openreview.net/forum?id=3XxoBwMusJ,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/3D_Scene_Prompting_for_Scene-Consistent_Camera-Controllable_Video_Generation.pdf,obsidian-vault/analysis/ICLR_2026/3D_Scene_Prompting_for_Scene-Consistent_Camera-Controllable_Video_Generation.md
Downloaded,,A-TPT: Angular Diversity Calibration Properties for Test-Time Prompt Tuning of Vision-Language Models,ICLR 2026,,https://openreview.net/forum?id=VhlSBZebEw,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A-TPT_Angular_Diversity_Calibration_Properties_for_Test-Time_Prompt_Tuning_of_Vision-Language_Models.pdf,obsidian-vault/analysis/ICLR_2026/A-TPT_Angular_Diversity_Calibration_Properties_for_Test-Time_Prompt_Tuning_of_Vision-Language_Models.md
Downloaded,,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,ICLR 2026,,https://openreview.net/forum?id=LfdFnakqGJ,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A2ASecBench_A_Protocol-Aware_Security_Benchmark_for_Agent-to-Agent_Multi-Agent_Systems.pdf,obsidian-vault/analysis/ICLR_2026/A2ASecBench_A_Protocol-Aware_Security_Benchmark_for_Agent-to-Agent_Multi-Agent_Systems.md
Downloaded,,"A2D: Any-Order, Any-Step Safety Alignment for Diffusion Language Models",ICLR 2026,,https://openreview.net/forum?id=URTnuyQJI1,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A2D_Any-Order_Any-Step_Safety_Alignment_for_Diffusion_Language_Models.pdf,obsidian-vault/analysis/ICLR_2026/A2D_Any-Order_Any-Step_Safety_Alignment_for_Diffusion_Language_Models.md
Downloaded,,A$^2$FM: An Adaptive Agent Foundation Model for Tool-Aware Hybrid Reasoning,ICLR 2026,,https://openreview.net/forum?id=3kvV1nfWVq,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A2FM_An_Adaptive_Agent_Foundation_Model_for_Tool-Aware_Hybrid_Reasoning.pdf,obsidian-vault/analysis/ICLR_2026/A2FM_An_Adaptive_Agent_Foundation_Model_for_Tool-Aware_Hybrid_Reasoning.md
